PULocationID,DOLocationID,pickup_hour,num_trips,GCT_Taxi,GCT_UAM_Early,GCT_UAM_Mid,GCT_UAM_Mature
153,1,5,20,114.37,108.946388263002,73.0278209881937,37.2226524218218
153,1,6,8,123.05,108.946388263002,73.0278209881937,37.2226524218218
153,1,7,8,122.92,108.946388263002,73.0278209881937,37.2226524218218
153,1,8,7,114.23,108.946388263002,73.0278209881937,37.2226524218218
153,1,9,6,117.42,108.946388263002,73.0278209881937,37.2226524218218
153,1,10,3,126.06,108.946388263002,73.0278209881937,37.2226524218218
153,1,11,2,130.24,108.946388263002,73.0278209881937,37.2226524218218
153,1,12,10,118.37,108.946388263002,73.0278209881937,37.2226524218218
153,1,13,5,116.46,108.946388263002,73.0278209881937,37.2226524218218
153,1,14,9,142.39,108.946388263002,73.0278209881937,37.2226524218218
153,1,15,5,142.51,108.946388263002,73.0278209881937,37.2226524218218
153,1,16,4,137.49,108.946388263002,73.0278209881937,37.2226524218218
153,1,17,6,134.86,108.946388263002,73.0278209881937,37.2226524218218
153,1,18,7,128.02,108.946388263002,73.0278209881937,37.2226524218218
153,1,19,4,120.9,108.946388263002,73.0278209881937,37.2226524218218
153,1,20,5,110.28,108.946388263002,73.0278209881937,37.2226524218218
154,1,5,4,122.85,195.604186511713,131.115383858665,66.830179163005
154,1,8,2,140.48,195.604186511713,131.115383858665,66.830179163005
154,1,12,2,147.71,195.604186511713,131.115383858665,66.830179163005
154,1,13,3,155.62,195.604186511713,131.115383858665,66.830179163005
154,1,14,4,261.65,195.604186511713,131.115383858665,66.830179163005
155,1,2,15,109.66,175.145423080635,117.4016762516,59.8402325267113
155,1,3,25,115.71,175.145423080635,117.4016762516,59.8402325267113
155,1,4,52,121.44,175.145423080635,117.4016762516,59.8402325267113
155,1,5,63,119.55,175.145423080635,117.4016762516,59.8402325267113
155,1,6,33,136.93,175.145423080635,117.4016762516,59.8402325267113
155,1,7,42,137.28,175.145423080635,117.4016762516,59.8402325267113
155,1,8,21,135.75,175.145423080635,117.4016762516,59.8402325267113
155,1,9,16,135.33,175.145423080635,117.4016762516,59.8402325267113
155,1,10,29,144.91,175.145423080635,117.4016762516,59.8402325267113
155,1,11,29,140.45,175.145423080635,117.4016762516,59.8402325267113
155,1,12,37,139.86,175.145423080635,117.4016762516,59.8402325267113
155,1,13,28,151.52,175.145423080635,117.4016762516,59.8402325267113
155,1,14,31,156.6,175.145423080635,117.4016762516,59.8402325267113
155,1,15,28,160.54,175.145423080635,117.4016762516,59.8402325267113
155,1,16,40,162.92,175.145423080635,117.4016762516,59.8402325267113
155,1,17,30,162.37,175.145423080635,117.4016762516,59.8402325267113
155,1,18,20,142.67,175.145423080635,117.4016762516,59.8402325267113
155,1,19,22,133.74,175.145423080635,117.4016762516,59.8402325267113
155,1,20,6,115.47,175.145423080635,117.4016762516,59.8402325267113
155,1,21,4,119.35,175.145423080635,117.4016762516,59.8402325267113
156,1,0,6,55.24,281.56126184097,188.733245358214,96.1982967223812
156,1,1,11,49.68,281.56126184097,188.733245358214,96.1982967223812
156,1,2,47,53.12,281.56126184097,188.733245358214,96.1982967223812
156,1,3,211,52.28,281.56126184097,188.733245358214,96.1982967223812
